Previous Crop,Soil Type,Moisture Level,Nitrogen (N),Phosphorus (P),Potassium (K),Recommended Crop
Chilli,Clayey,35.63,398.43,92.71,457.27,Potato
Soybean,Sandy,21.45,272.63,91.84,303.26,Soybean
Bell Pepper,Clayey,39.09,183.83,58.95,597.28,Potato
Chilli,Saline,24.54,261.3,72.26,478.27,Rice
Bell Pepper,Clayey,35.97,176.13,52.12,486.01,Potato
Tomato,Loamy,32.87,395.3,90.11,689.49,Tomato
Peach,Clayey,30.73,329.58,85.76,680.08,Potato
Chilli,Clayey,38.65,199.6,96.6,627.62,Potato
Potato,Saline,32.12,290.44,57.86,415.62,Rice
Potato,Clayey,37.17,331.06,113.45,337.23,Corn
Maize,Saline,36.55,334.95,110.3,517.67,Rice
Maize,Saline,33.44,225.15,97.25,507.44,Chilli
Peach,Saline,29.81,169.04,65.44,419.71,Chilli
Corn,Loamy,21.96,369.99,93.81,319.51,Soybean
Potato,Clayey,23.08,382.74,115.53,380.18,Soybean
Corn,Loamy,30.66,285.63,80.97,356.92,Tomato
Peach,Saline,26.64,366.14,71.48,676.79,Rice
Soybean,Clayey,24.16,285.18,91.48,438.37,Bell Pepper
Potato,Saline,39.34,215.33,51.61,576.82,Chilli
Tomato,Clayey,37.17,314.38,112.16,414.45,Potato
Peach,Clayey,28.61,291.52,73.99,642.98,Potato
Chilli,Clayey,37.42,376.62,116.74,533.66,Potato
Tomato,Sandy,21.19,385.43,115.75,662.85,Soybean
Bell Pepper,Sandy,21.98,259.82,53.6,342.51,Maize
Potato,Sandy,38.96,193.32,115.91,687.37,Soybean
Bell Pepper,Clayey,33.78,346.64,94.48,420.09,Potato
Potato,Saline,35.29,208.29,99.57,689.94,Chilli
Corn,Saline,36.66,295.82,114.19,356.69,Rice
Peach,Sandy,21.06,317.15,70.75,530.08,Maize
Chilli,Loamy,34.36,362.26,83.17,492.43,Tomato
Peach,Clayey,27.14,201.83,70.43,691.64,Potato
Rice,Saline,36.36,358.76,65.71,678.71,Rice
Potato,Saline,27.75,277.72,116.13,493.43,Rice
Rice,Sandy,35.35,282.76,67.81,587.3,Maize
Maize,Loamy,38.03,384.0,62.64,371.59,Tomato
Soybean,Loamy,26.79,245.24,81.98,429.99,Rice
Peach,Clayey,29.39,157.41,119.34,666.58,Potato
Corn,Saline,30.75,216.34,55.19,400.51,Chilli
Chilli,Clayey,33.76,341.69,107.71,332.17,Corn
Potato,Loamy,36.88,362.5,73.0,359.66,Tomato
Chilli,Loamy,24.21,275.79,80.63,450.78,Peach
Maize,Clayey,38.91,266.77,101.32,342.98,Corn
Bell Pepper,Loamy,35.71,238.42,78.96,311.47,Tomato
Chilli,Sandy,22.79,357.21,66.12,447.84,Maize
Potato,Sandy,26.72,253.9,114.01,427.15,Soybean
Rice,Loamy,25.03,211.87,109.98,474.99,Rice
Corn,Saline,23.18,331.1,66.66,585.29,Rice
Chilli,Loamy,32.89,279.33,92.71,465.45,Tomato
Corn,Clayey,21.32,169.65,116.24,314.6,Peach
Bell Pepper,Saline,31.98,319.84,60.78,655.83,Rice
Corn,Sandy,36.55,252.77,61.92,358.86,Maize
Bell Pepper,Sandy,27.24,363.28,59.3,303.78,Maize
Bell Pepper,Sandy,29.79,385.97,68.37,646.99,Maize
Soybean,Sandy,22.88,391.35,72.54,439.56,Maize
Soybean,Sandy,34.41,397.24,51.29,607.76,Maize
Corn,Saline,38.17,364.05,111.18,399.44,Rice
Chilli,Sandy,34.66,241.4,94.36,502.36,Soybean
Corn,Saline,22.46,214.37,99.14,474.69,Chilli
Bell Pepper,Clayey,26.91,200.69,102.18,406.65,Potato
Soybean,Loamy,23.46,334.74,54.36,483.86,Maize
Tomato,Saline,31.79,310.13,118.27,304.42,Rice
Rice,Sandy,34.45,294.09,56.24,656.22,Maize
Corn,Clayey,39.51,253.05,60.06,324.15,Corn
Peach,Clayey,30.06,342.57,106.82,666.31,Potato
Peach,Loamy,32.75,251.42,87.9,538.11,Tomato
Potato,Loamy,22.13,262.06,100.93,478.3,Corn
Corn,Saline,23.11,233.89,75.73,327.33,Chilli
Corn,Saline,24.63,267.2,55.62,621.7,Rice
Maize,Loamy,21.09,180.78,87.61,427.83,Corn
Bell Pepper,Loamy,28.16,379.49,53.46,576.71,Peach
Potato,Loamy,39.02,337.85,55.17,467.25,Tomato
Bell Pepper,Clayey,33.06,290.59,56.35,687.38,Potato
Bell Pepper,Loamy,28.72,366.42,66.65,554.4,Corn
Chilli,Clayey,29.88,185.37,56.87,500.76,Potato
Rice,Sandy,22.93,183.71,102.51,463.74,Soybean
Corn,Sandy,21.93,342.91,99.69,357.75,Soybean
Potato,Saline,25.18,245.03,79.08,474.93,Chilli
Chilli,Saline,26.13,344.91,114.28,488.13,Rice
Soybean,Loamy,22.46,349.06,55.47,473.37,Chilli
Tomato,Saline,33.83,378.63,85.3,697.83,Rice
Bell Pepper,Sandy,38.46,229.27,118.2,338.02,Soybean
Peach,Saline,23.49,163.02,61.57,331.52,Chilli
Potato,Clayey,36.76,270.91,76.71,481.42,Potato
Maize,Saline,25.97,170.56,77.71,480.31,Chilli
Corn,Sandy,32.14,278.93,72.76,639.07,Maize
Peach,Sandy,21.77,367.38,58.3,396.23,Maize
Chilli,Sandy,24.79,283.96,66.75,638.37,Maize
Peach,Sandy,23.16,196.61,78.15,611.37,Maize
Corn,Clayey,23.23,206.54,87.02,475.9,Soybean
Peach,Saline,38.67,367.41,103.39,431.91,Rice
Soybean,Sandy,27.28,361.37,86.05,646.21,Soybean
Maize,Saline,23.92,265.82,75.82,313.06,Rice
Potato,Loamy,23.43,340.56,59.14,656.99,Peach
Corn,Clayey,33.46,154.11,117.65,472.15,Potato
Peach,Loamy,34.37,366.45,78.27,544.07,Tomato
Maize,Clayey,39.6,199.2,113.78,430.73,Potato
Corn,Sandy,32.52,209.27,54.16,388.61,Maize
Maize,Saline,29.18,285.4,111.42,452.91,Rice
Peach,Clayey,24.48,265.95,51.47,663.34,Tomato
Bell Pepper,Loamy,20.79,185.51,78.13,416.98,Chilli
Potato,Loamy,37.62,325.02,56.23,463.47,Tomato
Rice,Saline,35.78,294.3,92.04,547.6,Rice
Rice,Clayey,35.92,376.88,75.63,650.33,Potato
Potato,Loamy,26.44,391.27,109.25,418.88,Corn
Bell Pepper,Loamy,27.15,247.92,70.21,405.05,Rice
Corn,Clayey,35.67,245.81,118.34,356.44,Corn
Maize,Sandy,33.75,363.44,100.03,444.15,Soybean
Bell Pepper,Sandy,32.99,179.76,71.49,589.45,Maize
Rice,Saline,31.09,158.76,105.28,363.65,Chilli
Corn,Sandy,27.37,154.3,107.39,646.74,Soybean
Chilli,Saline,34.83,388.27,53.7,430.35,Rice
Bell Pepper,Loamy,27.22,260.03,50.67,559.0,Tomato
Rice,Loamy,34.69,310.45,105.05,445.29,Tomato
Peach,Sandy,23.81,184.03,112.16,316.96,Soybean
Maize,Clayey,31.81,160.33,54.05,402.25,Potato
Soybean,Sandy,27.15,371.55,106.18,314.64,Soybean
Corn,Saline,36.57,334.93,80.98,555.35,Rice
Peach,Saline,30.37,338.96,106.68,531.02,Rice
Soybean,Clayey,32.48,266.47,53.89,398.16,Corn
Bell Pepper,Loamy,21.67,306.43,68.83,626.73,Tomato
Peach,Loamy,29.9,305.44,70.29,455.36,Potato
Peach,Sandy,35.61,397.15,74.74,493.13,Maize
Rice,Saline,37.2,267.22,77.93,606.85,Rice
Tomato,Saline,34.42,248.68,51.31,488.6,Chilli
Peach,Clayey,28.37,327.44,67.7,635.09,Potato
Rice,Clayey,25.15,321.6,95.51,613.45,Potato
Chilli,Sandy,27.78,299.96,72.26,517.88,Maize
Soybean,Clayey,31.23,247.69,58.72,513.51,Potato
Maize,Loamy,20.12,261.05,78.52,590.3,Potato
Soybean,Clayey,38.24,211.83,96.38,559.65,Potato
Corn,Saline,26.87,208.62,114.02,522.65,Chilli
Corn,Saline,35.94,365.45,73.49,435.41,Rice
Peach,Saline,30.69,204.46,70.8,339.04,Chilli
Peach,Saline,33.24,361.58,114.19,534.73,Rice
Peach,Loamy,35.19,194.69,117.96,568.74,Bell Pepper
Chilli,Sandy,25.76,285.84,69.67,614.38,Maize
Potato,Clayey,32.12,268.96,112.38,392.94,Corn
Maize,Sandy,35.03,341.15,77.29,382.02,Maize
Potato,Sandy,35.42,371.79,94.55,571.69,Soybean
Rice,Clayey,28.32,213.54,114.17,588.77,Potato
Rice,Saline,34.57,263.73,50.79,533.66,Rice
Soybean,Saline,26.04,195.34,65.58,427.6,Chilli
Maize,Saline,22.49,235.6,108.33,576.02,Chilli
Soybean,Clayey,22.26,211.98,107.54,371.92,Soybean
Maize,Clayey,30.11,391.57,55.85,502.69,Potato
Rice,Saline,27.67,259.15,88.52,379.86,Rice
Peach,Loamy,24.65,217.43,70.13,305.08,Peach
Peach,Sandy,27.82,176.1,87.25,580.6,Soybean
Maize,Loamy,28.24,237.09,92.38,697.76,Rice
Chilli,Sandy,31.07,375.28,53.95,360.45,Maize
Potato,Sandy,21.16,327.46,53.63,443.21,Maize
Bell Pepper,Loamy,38.16,184.82,97.99,674.51,Bell Pepper
Potato,Sandy,27.44,153.16,73.31,442.49,Maize
Tomato,Loamy,32.31,301.29,108.17,565.09,Tomato
Bell Pepper,Saline,26.13,389.59,66.65,613.0,Rice
Peach,Clayey,35.23,220.98,81.81,493.4,Potato
Soybean,Sandy,29.17,244.74,73.02,663.44,Maize
Bell Pepper,Loamy,26.44,354.68,92.45,410.7,Tomato
Peach,Clayey,39.28,244.07,78.97,539.38,Potato
Bell Pepper,Sandy,37.3,284.37,111.02,320.14,Soybean
Peach,Sandy,23.61,158.33,80.31,509.95,Soybean
Tomato,Sandy,34.01,319.9,90.73,451.31,Soybean
Tomato,Sandy,35.09,154.22,107.46,365.97,Soybean
Corn,Clayey,20.69,242.29,93.48,695.81,Maize
Maize,Sandy,39.22,171.04,93.84,627.34,Soybean
Peach,Sandy,24.66,162.19,99.24,670.99,Soybean
Rice,Clayey,38.17,151.13,76.99,691.71,Potato
Bell Pepper,Clayey,33.08,155.25,51.4,676.4,Potato
Tomato,Sandy,30.24,297.19,94.86,544.29,Soybean
Rice,Clayey,35.72,154.92,63.27,385.74,Corn
Chilli,Clayey,33.5,168.6,80.09,394.34,Corn
Soybean,Loamy,34.8,252.76,117.05,382.3,Tomato
Potato,Clayey,37.16,251.73,119.48,665.71,Potato
Tomato,Saline,29.42,215.69,76.74,400.03,Chilli
Rice,Loamy,28.51,316.08,60.17,565.84,Soybean
Bell Pepper,Saline,38.0,166.75,77.18,507.79,Chilli
Peach,Loamy,35.96,221.76,74.76,491.71,Tomato
Tomato,Loamy,20.38,323.72,110.54,329.26,Corn
Corn,Loamy,33.08,176.47,67.99,398.8,Bell Pepper
Maize,Loamy,38.08,327.69,102.51,499.21,Tomato
Tomato,Clayey,33.67,153.99,66.67,610.03,Potato
Bell Pepper,Saline,31.07,325.48,84.65,315.18,Rice
Peach,Clayey,23.52,346.69,57.0,505.92,Bell Pepper
Potato,Clayey,39.01,324.14,87.7,507.51,Potato
Bell Pepper,Sandy,32.53,339.73,96.73,355.95,Soybean
Maize,Clayey,22.02,356.89,76.47,522.65,Chilli
Bell Pepper,Loamy,38.55,267.47,87.14,371.18,Tomato
Peach,Sandy,30.33,241.59,92.92,541.14,Soybean
Corn,Sandy,23.14,315.57,94.89,492.23,Soybean
Corn,Clayey,24.53,295.13,80.63,430.29,Corn
Soybean,Saline,39.36,327.33,106.98,379.49,Rice
Peach,Sandy,28.73,353.95,93.87,657.89,Soybean
Corn,Clayey,28.39,158.83,70.83,565.04,Potato
Potato,Clayey,29.72,298.88,79.1,358.45,Corn
Corn,Loamy,34.01,296.53,54.28,642.19,Tomato
Tomato,Saline,27.3,337.08,111.62,430.43,Rice
Chilli,Sandy,28.42,375.29,112.23,555.81,Soybean
Maize,Saline,34.92,207.31,94.39,512.78,Chilli
Soybean,Saline,29.22,374.0,61.28,465.55,Rice
Bell Pepper,Saline,34.27,338.35,87.05,305.46,Rice
Maize,Sandy,39.24,211.08,62.97,303.04,Maize
Bell Pepper,Sandy,39.25,314.96,101.17,607.93,Soybean
Soybean,Saline,28.94,318.38,111.34,624.99,Rice
Soybean,Clayey,24.68,231.75,77.19,615.56,Tomato
Chilli,Sandy,25.02,244.38,60.4,547.28,Maize
Tomato,Loamy,36.38,171.84,119.78,682.16,Bell Pepper
Peach,Saline,21.59,281.56,56.61,367.82,Rice
Bell Pepper,Sandy,20.81,394.73,73.89,544.99,Maize
Bell Pepper,Sandy,33.63,164.24,100.93,591.31,Soybean
Rice,Saline,38.2,302.52,82.38,547.66,Rice
Soybean,Loamy,24.62,154.97,98.22,588.09,Chilli
Soybean,Clayey,21.09,161.11,72.72,558.36,Rice
Chilli,Clayey,37.91,296.07,109.65,527.48,Potato
Chilli,Sandy,27.08,325.31,103.15,352.76,Soybean
Peach,Loamy,30.99,302.8,118.03,336.23,Tomato
Bell Pepper,Loamy,36.72,275.48,66.42,490.47,Tomato
Soybean,Saline,25.0,342.39,59.87,683.1,Rice
Soybean,Saline,32.02,192.6,114.39,437.9,Chilli
Tomato,Loamy,39.83,381.77,106.57,300.46,Tomato
Tomato,Clayey,34.83,328.59,90.08,628.52,Potato
Rice,Saline,27.95,344.42,89.99,564.34,Rice
Chilli,Saline,35.36,161.71,63.58,588.85,Chilli
Peach,Clayey,20.44,292.93,106.13,599.37,Tomato
Corn,Clayey,24.31,276.94,51.43,389.49,Tomato
Corn,Saline,34.89,362.52,54.88,505.25,Rice
Bell Pepper,Loamy,25.24,348.09,99.17,466.89,Chilli
Soybean,Saline,22.52,231.34,72.31,434.94,Chilli
Bell Pepper,Clayey,25.87,185.75,115.56,646.45,Potato
Maize,Saline,23.43,217.35,97.34,699.78,Chilli
Soybean,Sandy,28.41,374.52,117.62,652.86,Soybean
Corn,Clayey,22.49,246.23,54.15,362.75,Corn
Corn,Saline,36.75,382.4,90.13,565.29,Rice
Rice,Sandy,35.6,246.81,92.49,379.37,Soybean
Corn,Clayey,26.14,397.28,84.83,345.39,Corn
Chilli,Sandy,30.4,222.8,107.18,695.81,Soybean
Peach,Loamy,37.1,254.77,73.98,655.48,Tomato
Soybean,Clayey,38.58,228.76,74.29,557.47,Potato
Bell Pepper,Sandy,21.82,397.6,113.91,491.97,Soybean
Soybean,Loamy,34.44,256.51,90.73,546.46,Tomato
Soybean,Sandy,22.71,352.56,117.25,528.24,Soybean
Corn,Clayey,20.4,189.44,112.82,413.22,Tomato
Corn,Clayey,21.58,174.51,96.17,651.97,Tomato
Maize,Clayey,31.52,374.36,61.25,653.06,Potato
Rice,Loamy,27.54,249.28,105.01,591.25,Maize
Soybean,Saline,22.37,329.25,93.84,400.34,Rice
Maize,Clayey,29.49,255.48,115.37,667.51,Potato
Soybean,Loamy,30.16,353.1,94.97,676.1,Tomato
Chilli,Loamy,35.75,303.26,51.75,451.3,Tomato
Corn,Clayey,33.27,331.16,69.99,480.22,Potato
Maize,Clayey,29.32,340.64,100.07,450.78,Potato
Potato,Clayey,26.49,193.48,65.53,600.29,Potato
Chilli,Clayey,20.04,238.67,118.83,497.23,Potato
Bell Pepper,Saline,36.64,229.08,81.37,517.19,Chilli
Maize,Saline,25.34,303.87,65.14,586.6,Rice
Tomato,Sandy,24.26,162.75,53.48,581.93,Maize
Bell Pepper,Saline,34.69,189.96,114.07,429.56,Chilli
Potato,Sandy,21.43,150.61,53.79,323.31,Maize
Rice,Sandy,25.25,247.32,68.44,651.62,Maize
Peach,Loamy,28.7,259.74,92.1,318.46,Tomato
Corn,Saline,28.83,194.89,55.95,319.77,Chilli
Peach,Saline,23.16,192.85,74.07,675.06,Chilli
Corn,Saline,20.8,257.01,70.8,524.62,Rice
Peach,Loamy,29.41,212.25,91.57,502.35,Tomato
Rice,Sandy,27.15,168.55,106.03,501.7,Soybean
Potato,Saline,25.7,380.52,111.27,382.74,Rice
Potato,Clayey,25.41,366.37,105.75,352.93,Corn
Tomato,Loamy,30.08,163.15,118.83,669.31,Bell Pepper
Chilli,Loamy,20.43,201.31,92.78,684.0,Rice
Tomato,Loamy,22.12,326.63,105.45,643.89,Maize
Corn,Loamy,26.5,166.91,55.58,547.87,Chilli
Maize,Sandy,29.6,379.75,90.37,681.18,Soybean
Potato,Sandy,33.88,153.73,78.29,492.67,Maize
Corn,Saline,25.86,284.3,53.81,591.88,Rice
Tomato,Saline,33.34,250.38,69.67,358.25,Rice
Potato,Loamy,27.74,269.25,97.22,531.88,Corn
Corn,Clayey,35.49,331.19,90.06,644.33,Potato
Rice,Sandy,29.61,156.92,83.85,405.45,Soybean
Potato,Loamy,30.83,305.48,53.98,534.44,Tomato
Tomato,Sandy,28.7,358.96,58.74,685.98,Maize
Bell Pepper,Loamy,22.66,326.15,55.01,301.0,Rice
Corn,Clayey,23.42,241.89,112.49,389.74,Bell Pepper
Rice,Loamy,28.01,196.24,67.02,480.24,Maize
Peach,Loamy,21.98,328.63,106.68,645.76,Bell Pepper
Peach,Loamy,22.8,240.58,97.75,549.32,Maize
Soybean,Clayey,32.47,349.91,89.94,681.61,Potato
Rice,Saline,32.66,156.65,77.67,479.32,Chilli
Soybean,Saline,22.55,152.84,104.22,416.98,Chilli
Soybean,Saline,37.08,273.01,107.78,635.72,Rice
Soybean,Loamy,37.13,179.17,51.45,663.25,Bell Pepper
Maize,Saline,27.59,356.31,64.99,663.6,Rice
Potato,Loamy,29.96,170.85,116.28,435.61,Rice
Potato,Sandy,36.03,386.87,110.89,347.97,Soybean
Peach,Loamy,35.25,220.47,66.86,487.88,Tomato
Corn,Sandy,27.25,368.82,72.24,441.84,Maize
Chilli,Loamy,26.34,218.87,104.6,637.9,Bell Pepper
Rice,Clayey,33.29,252.17,57.28,533.47,Potato
Chilli,Clayey,27.27,202.41,96.41,580.58,Potato
Tomato,Saline,33.79,162.26,65.77,363.2,Chilli
Corn,Clayey,22.59,299.07,112.65,684.49,Maize
Soybean,Loamy,33.44,351.4,108.16,688.6,Tomato
Maize,Clayey,35.7,332.48,52.43,416.45,Potato
Chilli,Clayey,38.09,392.63,111.16,468.4,Potato
Bell Pepper,Loamy,29.12,376.91,79.75,646.92,Bell Pepper
Maize,Saline,31.21,184.84,94.32,316.39,Chilli
Tomato,Saline,25.78,306.5,104.03,376.85,Rice
Maize,Saline,23.01,268.61,53.49,639.68,Rice
Soybean,Sandy,23.46,196.67,64.79,554.23,Maize
Soybean,Saline,36.89,338.0,82.57,545.89,Rice
Soybean,Loamy,30.83,270.88,70.39,525.11,Tomato
Corn,Saline,27.53,324.63,83.79,698.78,Rice
Bell Pepper,Loamy,37.28,165.27,72.33,654.78,Bell Pepper
Corn,Sandy,22.28,178.32,82.8,375.92,Soybean
Soybean,Clayey,31.88,260.72,80.72,472.82,Potato
Tomato,Loamy,35.82,154.8,89.5,381.94,Bell Pepper
Soybean,Sandy,22.5,197.39,50.67,431.93,Maize
Corn,Sandy,22.41,359.41,67.45,652.95,Maize
Maize,Clayey,20.67,267.68,108.97,682.65,Corn
Maize,Loamy,38.84,328.9,75.27,526.05,Tomato
Soybean,Saline,33.84,190.83,102.86,440.93,Chilli
Peach,Sandy,21.43,245.66,96.32,554.4,Soybean
Maize,Saline,33.43,354.71,108.13,580.88,Rice
Potato,Loamy,26.07,160.67,96.9,592.78,Tomato
Potato,Loamy,22.19,228.97,56.7,321.76,Corn
Bell Pepper,Clayey,39.84,277.75,96.3,577.55,Potato
Potato,Saline,23.6,305.51,99.67,302.03,Rice
Maize,Loamy,35.97,186.74,71.13,445.81,Bell Pepper
Bell Pepper,Clayey,37.63,381.43,108.65,671.75,Potato
Chilli,Sandy,30.61,334.32,64.1,667.39,Maize
Peach,Saline,39.52,165.94,63.92,511.25,Chilli
Rice,Clayey,22.4,261.39,66.96,396.61,Peach
Bell Pepper,Clayey,39.22,372.36,115.59,515.86,Potato
Maize,Sandy,21.41,375.05,76.8,379.18,Maize
Maize,Clayey,29.55,369.88,55.16,459.96,Potato
Peach,Clayey,37.1,179.74,78.99,611.14,Potato
Peach,Sandy,31.06,275.17,81.01,431.82,Soybean
Bell Pepper,Clayey,31.67,263.59,105.92,615.84,Potato
Soybean,Saline,23.22,255.34,84.48,599.76,Rice
Peach,Loamy,39.69,244.93,115.66,665.29,Tomato
Soybean,Clayey,24.62,364.71,94.19,592.4,Potato
Chilli,Clayey,37.18,347.97,116.06,537.38,Potato
Maize,Loamy,39.13,197.0,97.54,577.08,Bell Pepper
Bell Pepper,Clayey,25.62,345.76,114.61,412.47,Potato
Peach,Sandy,34.61,319.75,57.18,675.35,Maize
Chilli,Saline,21.61,161.72,57.55,343.36,Chilli
Bell Pepper,Sandy,34.83,176.18,73.85,573.5,Maize
Rice,Loamy,29.69,387.15,87.61,552.67,Rice
Corn,Sandy,22.36,282.53,112.26,616.48,Soybean
Soybean,Saline,37.89,399.51,107.74,322.64,Rice
Corn,Clayey,33.58,391.4,84.84,366.18,Corn
Tomato,Sandy,23.37,342.14,111.56,507.17,Soybean
Chilli,Clayey,30.66,230.57,63.11,593.14,Potato
Soybean,Clayey,26.52,198.45,89.54,339.32,Corn
Chilli,Saline,34.21,152.78,60.71,416.13,Chilli
Potato,Saline,32.55,188.95,118.48,689.78,Chilli
Soybean,Clayey,23.79,369.74,100.07,540.2,Tomato
Maize,Saline,24.84,328.31,97.27,535.17,Rice
Chilli,Clayey,34.09,361.84,115.7,331.75,Corn
Maize,Clayey,33.5,360.06,63.07,690.8,Potato
Potato,Sandy,26.24,393.74,93.99,586.36,Soybean
Peach,Clayey,29.56,324.93,54.98,592.1,Potato
Chilli,Loamy,29.34,290.4,82.68,697.81,Bell Pepper
Corn,Saline,22.49,297.73,74.69,617.0,Rice
Chilli,Loamy,32.42,320.46,97.89,318.81,Tomato
Peach,Loamy,25.29,264.49,76.59,583.2,Corn
Bell Pepper,Sandy,29.2,320.59,52.65,546.73,Maize
Corn,Loamy,21.44,298.38,62.45,475.84,Peach
Corn,Saline,32.28,190.14,96.87,321.49,Chilli
Potato,Clayey,36.79,178.07,85.65,526.33,Potato
Corn,Saline,31.39,204.78,117.97,363.94,Chilli
Rice,Sandy,31.94,344.01,52.91,491.38,Maize
Maize,Sandy,33.47,214.32,119.9,353.16,Soybean
Soybean,Clayey,23.93,364.83,53.16,617.61,Maize
Rice,Loamy,21.38,221.75,54.77,395.43,Maize
Bell Pepper,Clayey,37.08,304.69,79.1,358.43,Corn
Chilli,Loamy,36.93,366.66,70.2,521.68,Tomato
Tomato,Loamy,30.89,361.88,80.89,390.12,Tomato
Tomato,Loamy,23.94,358.76,52.48,691.76,Peach
Rice,Loamy,36.34,355.43,99.54,546.12,Tomato
Corn,Loamy,24.4,321.87,77.75,590.24,Soybean
Chilli,Clayey,37.22,329.92,99.77,549.34,Potato
Peach,Sandy,28.48,388.66,78.97,504.29,Maize
Chilli,Sandy,21.15,345.31,82.79,407.84,Soybean
Soybean,Sandy,36.34,185.7,110.02,435.61,Soybean
Potato,Clayey,31.21,208.36,94.37,359.63,Corn
Chilli,Saline,26.37,233.97,58.07,691.1,Chilli
Peach,Clayey,29.06,172.06,103.46,356.08,Corn
Corn,Sandy,37.72,370.68,107.79,688.74,Soybean
Bell Pepper,Saline,24.06,254.59,114.75,412.09,Rice
Potato,Loamy,22.08,257.28,115.4,393.33,Soybean
Potato,Sandy,35.7,252.03,95.9,699.71,Soybean
Corn,Sandy,32.43,268.4,54.98,337.7,Maize
Soybean,Loamy,37.4,199.43,86.55,622.88,Bell Pepper
Tomato,Saline,26.27,332.53,92.71,553.92,Rice
Bell Pepper,Loamy,31.23,370.12,117.07,575.51,Tomato
Rice,Loamy,20.85,330.37,99.0,428.77,Rice
Rice,Clayey,36.93,218.29,76.67,536.46,Potato
Bell Pepper,Loamy,23.82,157.12,61.38,572.06,Bell Pepper
Soybean,Sandy,22.29,185.12,72.69,523.38,Maize
Soybean,Sandy,29.69,318.88,91.77,550.38,Soybean
Peach,Sandy,34.9,340.37,76.77,392.31,Maize
Maize,Saline,24.2,272.42,84.71,511.04,Rice
Chilli,Sandy,24.67,156.64,101.68,359.39,Soybean
Soybean,Loamy,26.31,271.28,103.29,356.55,Potato
Rice,Clayey,36.22,371.77,109.91,463.89,Potato
Corn,Sandy,34.95,180.47,94.57,529.52,Soybean
Rice,Saline,25.4,377.07,69.09,502.85,Rice
Maize,Loamy,25.1,387.65,61.93,460.29,Peach
Bell Pepper,Loamy,38.13,315.87,108.27,460.72,Tomato
Maize,Saline,32.3,165.69,94.74,504.74,Chilli
Chilli,Clayey,24.5,233.89,77.39,554.13,Rice
Peach,Saline,22.81,365.62,65.85,565.54,Rice
Soybean,Clayey,21.32,329.86,64.36,634.41,Rice
Peach,Saline,24.93,272.8,87.75,500.7,Rice
Maize,Loamy,34.4,190.38,73.74,445.91,Bell Pepper
Corn,Sandy,27.43,270.97,78.17,655.71,Maize
Chilli,Sandy,39.3,173.26,118.14,372.31,Soybean
Corn,Clayey,26.49,303.79,106.44,553.28,Potato
Corn,Loamy,23.0,344.77,118.24,396.68,Soybean
Corn,Sandy,23.53,307.01,94.05,599.03,Soybean
Bell Pepper,Saline,29.77,153.47,55.19,678.96,Chilli
Soybean,Loamy,38.75,317.35,63.01,670.96,Tomato
Soybean,Loamy,38.01,271.55,102.02,493.46,Tomato
Corn,Sandy,23.67,257.33,111.85,699.3,Soybean
Potato,Saline,35.09,220.71,59.34,314.35,Chilli
Chilli,Saline,35.05,179.09,102.82,604.43,Chilli
Potato,Sandy,23.31,290.04,52.14,551.12,Maize
Peach,Saline,25.96,358.31,74.64,690.13,Rice
Chilli,Sandy,21.52,396.47,63.52,667.14,Maize
Maize,Clayey,21.5,308.41,54.6,384.65,Corn
Peach,Clayey,28.84,227.92,100.6,343.79,Corn
Peach,Loamy,29.68,253.46,80.87,334.09,Potato
Peach,Sandy,20.65,330.91,79.23,588.04,Maize
Potato,Saline,39.32,269.12,117.74,361.03,Rice
Soybean,Saline,29.73,280.59,74.28,689.22,Rice
Chilli,Sandy,35.76,184.87,71.63,630.98,Maize
Maize,Loamy,32.7,284.22,77.2,390.31,Tomato
Tomato,Sandy,32.39,392.93,61.72,336.89,Maize
Tomato,Saline,26.06,234.07,71.14,546.42,Chilli
Corn,Sandy,37.74,192.0,101.38,419.13,Soybean
Bell Pepper,Saline,25.99,268.61,106.11,655.56,Rice
Bell Pepper,Saline,39.03,279.75,81.44,384.76,Rice
Tomato,Sandy,20.79,399.4,90.77,552.34,Soybean
Tomato,Clayey,22.29,203.5,113.31,468.39,Tomato
Rice,Saline,34.53,285.78,64.12,507.53,Rice
Maize,Saline,32.17,243.33,90.14,630.42,Chilli
Rice,Loamy,34.34,336.66,59.23,468.97,Tomato
Corn,Saline,32.83,367.66,73.29,666.45,Rice
Rice,Sandy,30.54,340.16,53.26,690.26,Maize
Potato,Clayey,20.62,197.49,60.32,520.9,Bell Pepper
Corn,Saline,36.18,312.69,64.1,388.92,Rice
Potato,Clayey,30.2,208.04,58.66,449.44,Potato
Corn,Loamy,22.12,395.94,65.07,366.85,Peach
Rice,Sandy,23.85,289.93,73.94,460.52,Maize
Tomato,Saline,33.24,257.64,72.69,604.97,Rice
Potato,Clayey,21.54,311.58,66.49,500.38,Potato
Chilli,Saline,37.39,299.88,73.25,401.12,Rice
Corn,Clayey,35.81,379.3,50.35,304.5,Corn
Bell Pepper,Loamy,26.13,278.15,93.42,435.48,Soybean
Soybean,Clayey,37.67,339.03,78.99,383.96,Corn
Chilli,Saline,37.7,396.16,86.49,630.92,Rice
Chilli,Sandy,36.76,307.94,83.36,585.93,Soybean
Peach,Clayey,26.15,184.45,90.82,483.46,Potato
Peach,Clayey,33.12,399.0,106.7,487.14,Potato
